success type,attribution_method,SearchMatchType,SearchCategory,RecordType,CampaignMap,ActivitySubType,CampaignMapSearch,Site,CampaignType,Channel,contribution
build004, last_event, Phrase, Brand, Search Click,  , , Retail, DART Search : Google,  , Previous Site Activity, 2.0
build0, attributed, Broad, FCSD, Search Click,  , , Motocraft, DART Search : Google,  , Previous Site Activity, 248.427619763
build0, last_event,  ,  , Impression, Motocraft 2016, ,  , Autoscout24.de, Retail, Previous Site Activity, 639.0
build0, last_event,  ,  , Impression, Retail February, ,  , SevenOne Media, Retail, Previous Site Activity, 1973.0
build0, last_event,  ,  , Display Click, Retail January, ,  , autozeitung.de, Retail, Previous Site Activity, 100.0
testd00, last_event,  ,  , Display Click, Retail Marz, ,  , Axel Springer Media Impact, Retail, Previous Site Activity, 3.0
testd00, attributed,  ,  , Display Click, Retail February, ,  , SevenOne Media, Retail, Previous Site Activity, 0.625
testd00, last_event,  ,  , Display Click, Smax, ,  , Light Reaction, Brand, Previous Site Activity, 57.0
build0, attributed,  ,  , Display Click, Smax, ,  , IQ Digital Network, Brand, Previous Site Activity, 141.911731891
testd00, last_event,  ,  , Impression, Retail January, ,  , XaxisDE, Retail, Previous Site Activity, 27.0
build004, attributed,  ,  , Impression, Kuga Sustain, ,  , Mobile.de, Brand, Previous Site Activity, 5.66828312853
testd00, last_event,  ,  , Display Click, Kuga Sustain, ,  , Bauer Media, Brand, Previous Site Activity, 8.0
euepr528, last_event, Exact, Name Plate, Search Click,  , , Mustang, DART Search : Google,  , Previous Site Activity, 2.0
build0, attributed,  ,  , Impression, Kuga Sustain, ,  , XaxisDE, Brand, Previous Site Activity, 3547.57481537
build0, last_event, Exact, Name Plate, Search Click,  , , Ka, DART Search : Google,  , Previous Site Activity, 2556.0
build0, last_event, Exact, Generic, Search Click,  , , SUV, DART Search : Google,  , Previous Site Activity, 72.0
testd00, attributed,  ,  , Impression, Retail Marz, ,  , OMS DE, Retail, Previous Site Activity, 1.89471162776
build004, last_event,  ,  , Display Click, Retail January, ,  , OMS DE, Retail, Previous Site Activity, 1.0
build004, attributed,  ,  , Impression, Retail February, ,  , united internet media, Retail, Previous Site Activity, 5.69255346846
build0, last_event,  ,  , Impression, UNKNOWN, ,  , Xaxis Mobile TV, UNKNOWN, Previous Site Activity, 4.0
testd00, last_event,  ,  , Impression, Fleet February, ,  , Business Advertising GmbH, Retail, Previous Site Activity, 1.0
build004, attributed,  ,  , Impression, Fleet February, ,  , Quarter Media, Retail, Previous Site Activity, 7.11870799126
testd00, attributed,  ,  , Impression, Retail Marz, ,  , SevenOne Media GmbH, Retail, Previous Site Activity, 26.960708198
build0, last_event, Exact, Generic, Search Click,  , , Auto, DART Search : Google,  , Previous Site Activity, 191.0
build0, last_event,  ,  , Impression, Kooperation, ,  , fc-koeln.de, Brand, Previous Site Activity, 10.0
